死刑執行数,,,,,,,,,,,
年,,死刑執行数,出典,,,,,,,,
昭和60,1985,3,検察統計年報 昭和60年 表59 p.378-81,,,,,,,,
昭和61,1986,2,検察統計年報 昭和61年 表59 p.378-81,,,,,,,,
昭和62,1987,2,検察統計年報 昭和62年 表59 p.378-81,,,,,,,,
昭和63,1988,2,検察統計年報 昭和63年 表59 p.410-3,,,,,,,,
平成元,1989,1,検察統計年報 平成元年 表59 p.402-5,,,,,,,,
平成2,1990,0,検察統計年報 平成2年 表59 p.402-5,,,,,,,,
平成3,1991,0,検察統計年報 平成3年 表59 p.398-401,,,,,,,,
平成4,1992,0,検察統計年報 平成4年 表59 p.398-401,,,,,,,,
平成5,1993,7,検察統計年報 平成5年 表59 p.436-9,,,,,,,,
平成6,1994,2,検察統計年報 平成6年 表65 p.436-9,,,,,,,,
平成7,1995,6,検察統計年報 平成7年 表65 p.436-9,,,,,,,,
平成8,1996,6,検察統計年報 平成8年 表65 p.436-9,,,,,,,,
平成9,1997,4,検察統計年報 平成9年 表65 p.436-9,,,,,,,,
平成10,1998,6,検察統計年報 平成10年 表65 p.436-9,,,,,,,,
平成11,1999,5,検察統計年報 平成11年 表65 p.436-9,,,,,,,,
平成12,2000,3,検察統計年報 平成12年 表65 p.436-9,,,,,,,,
平成13,2001,2,検察統計年報 平成13年 表65 p.444-7,,,,,,,,
平成14,2002,2,検察統計年報 平成14年 表65 p.444-7,,,,,,,,
平成15,2003,1,検察統計年報 平成15年 表65 p.444-7,,,,,,,,
平成16,2004,2,検察統計年報 平成16年 表65 p.444-7,,,,,,,,
平成17,2005,1,検察統計年報 平成17年 表65 p.444-7,,,,,,,,
平成18,2006,4,検察統計年報 平成18年 表65,http://www.e-stat.go.jp/SG1/estat/Xlsdl.do?sinfid=000001130615,,,,,,,
平成19,2007,9,検察統計年報 平成19年 表65,http://www.e-stat.go.jp/SG1/estat/Xlsdl.do?sinfid=000001255141,,,,,,,
平成20,2008,15,検察統計年報 平成20年 表65,http://www.e-stat.go.jp/SG1/estat/Xlsdl.do?sinfid=000004577813,,,,,,,
平成21,2009,7,検察統計年報 平成21年 表65,http://www.e-stat.go.jp/SG1/estat/Xlsdl.do?sinfid=000008189305,,,,,,,
平成22,2010,2,検察統計年報 平成22年 表65,http://www.e-stat.go.jp/SG1/estat/Xlsdl.do?sinfid=000011651324,,,,,,,
平成23,2011,0,検察統計年報 平成23年 表65,http://www.e-stat.go.jp/SG1/estat/Xlsdl.do?sinfid=000014890020,,,,,,,
平成24,2012,7,検察統計年報 平成24年 表65,http://www.e-stat.go.jp/SG1/estat/Xlsdl.do?sinfid=000022091172,,,,,,,
平成25,2013,8,検察統計年報 平成25年 表65,http://www.e-stat.go.jp/SG1/estat/Xlsdl.do?sinfid=000027229230,,,,,,,
平成26,2014,3,検察統計年報 平成26年 表65,http://www.e-stat.go.jp/SG1/estat/Xlsdl.do?sinfid=000031242355,,,,,,,
平成27,2015,3,検察統計年報 平成27年 表65,http://www.e-stat.go.jp/SG1/estat/Xlsdl.do?sinfid=000031445779,,,,,,,
平成28,2016,3,検察統計年報 平成28年 表65,http://www.e-stat.go.jp/SG1/estat/Xlsdl.do?sinfid=000031612514,,,,,,,
平成29,2017,4,検察統計年報 平成29年 表65,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031745412&fileKind=0,,,,,,,
平成30,2018,15,検察統計年報 平成30年 表65,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031856188&fileKind=0,,,,,,,
令和元,2019,3,検察統計年報 令和元年 表65,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031971994&fileKind=0,,,,,,,
令和2,2020,0,検察統計年報 令和2年 表65,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032111414&fileKind=4,,,,,,,
令和3,2021,3,検察統計年報 令和3年 表65,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032111414&fileKind=4,,,,,,,
,,,,,,,,,,,
本データの引用方法（推奨）：CrimeInfo（crimeinfo.jp）掲載『死刑執行数』より引用,,,,,,,,,,,
